danrer_gene_id	danrer_transcript_id	number_of_exons	astmex_gene_id	danrer_gene_id	gadmor_gene_id	gasacu_gene_id	orenil_gene_id	orylat_gene_id	poefor	takrub_gene_id	tetnig_gene_id	xipmac_gene_id
ENSDARG00000035761	ENSDART00000051890	5	ENSAMXG00000009710	ENSDARG00000035761	ENSGMOG00000018770	ENSGACG00000016398	ENSONIG00000002357	ENSORLG00000000527	ENSPFOG00000002340	ENSTRUG00000014527	ENSTNIG00000015726	ENSXMAG00000016334	
ENSDARG00000035978	ENSDART00000125313	8	ENSAMXG00000019163	ENSDARG00000035978	ENSGMOG00000005168	ENSGACG00000003936	ENSONIG00000005968	ENSORLG00000010581	ENSPFOG00000015824	ENSTRUG00000009905	ENSTNIG00000012785	ENSXMAG00000002424	
ENSDARG00000036338	ENSDART00000052787	10	ENSAMXG00000004412	ENSDARG00000036338	ENSGMOG00000015886	ENSGACG00000020112	ENSONIG00000004772	ENSORLG00000018645	ENSPFOG00000014803	ENSTRUG00000003295	ENSTNIG00000008597	ENSXMAG00000017073	
ENSDARG00000036481	ENSDART00000053001	5	ENSAMXG00000009626	ENSDARG00000036481	ENSGMOG00000012233	ENSGACG00000008530	ENSONIG00000013356	ENSORLG00000006588	ENSPFOG00000008793	ENSTRUG00000012642	ENSTNIG00000015849	ENSXMAG00000017900	
ENSDARG00000036595	ENSDART00000075216	5	ENSAMXG00000019508	ENSDARG00000036595	ENSGMOG00000000552	ENSGACG00000016832	ENSONIG00000010208	ENSORLG00000008376	ENSPFOG00000012123	ENSTRUG00000007230	ENSTNIG00000007112	ENSXMAG00000008106	
ENSDARG00000036755	ENSDART00000053369	6	ENSAMXG00000019547	ENSDARG00000036755	ENSGMOG00000001957	ENSGACG00000017206	ENSONIG00000010014	ENSORLG00000007452	ENSPFOG00000009121	ENSTRUG00000014623	ENSTNIG00000017730	ENSXMAG00000017138	
ENSDARG00000037017	ENSDART00000053804	5	ENSAMXG00000013206	ENSDARG00000037017	ENSGMOG00000000623	ENSGACG00000007229	ENSONIG00000002362	ENSORLG00000005259	ENSPFOG00000001998	ENSTRUG00000011071	ENSTNIG00000015170	ENSXMAG00000011476	
ENSDARG00000037060	ENSDART00000053863	11	ENSAMXG00000013022	ENSDARG00000037060	ENSGMOG00000004488	ENSGACG00000009038	ENSONIG00000012128	ENSORLG00000007583	ENSPFOG00000007032	ENSTRUG00000012286	ENSTNIG00000015069	ENSXMAG00000011105	
ENSDARG00000037898	ENSDART00000055241	5	ENSAMXG00000010610	ENSDARG00000037898	ENSGMOG00000019028	ENSGACG00000004404	ENSONIG00000003424	ENSORLG00000018743	ENSPFOG00000014679	ENSTRUG00000012163	ENSTNIG00000010209	ENSXMAG00000014943	
ENSDARG00000037935	ENSDART00000124943	5	ENSAMXG00000010961	ENSDARG00000037935	ENSGMOG00000003317	ENSGACG00000005952	ENSONIG00000006524	ENSORLG00000016761	ENSPFOG00000002924	ENSTRUG00000014327	ENSTNIG00000011145	ENSXMAG00000008597	
ENSDARG00000038882	ENSDART00000056765	14	ENSAMXG00000013950	ENSDARG00000038882	ENSGMOG00000009740	ENSGACG00000010151	ENSONIG00000003617	ENSORLG00000006114	ENSPFOG00000012666	ENSTRUG00000006919	ENSTNIG00000007707	ENSXMAG00000018289	
ENSDARG00000039134	ENSDART00000057161	6	ENSAMXG00000004301	ENSDARG00000039134	ENSGMOG00000012705	ENSGACG00000015329	ENSONIG00000007216	ENSORLG00000014271	ENSPFOG00000014810	ENSTRUG00000008159	ENSTNIG00000005701	ENSXMAG00000014278	
ENSDARG00000039196	ENSDART00000057268	6	ENSAMXG00000004547	ENSDARG00000039196	ENSGMOG00000011410	ENSGACG00000017323	ENSONIG00000009411	ENSORLG00000017649	ENSPFOG00000010800	ENSTRUG00000013091	ENSTNIG00000008470	ENSXMAG00000005874	
ENSDARG00000040131	ENSDART00000075953	18	ENSAMXG00000021142	ENSDARG00000040131	ENSGMOG00000013860	ENSGACG00000012287	ENSONIG00000019620	ENSORLG00000009842	ENSPFOG00000017711	ENSTRUG00000005222	ENSTNIG00000018668	ENSXMAG00000014723	
ENSDARG00000040571	ENSDART00000059376	11	ENSAMXG00000001437	ENSDARG00000040571	ENSGMOG00000011714	ENSGACG00000008993	ENSONIG00000006254	ENSORLG00000007707	ENSPFOG00000015706	ENSTRUG00000015439	ENSTNIG00000019280	ENSXMAG00000008728	
ENSDARG00000041107	ENSDART00000060243	11	ENSAMXG00000000420	ENSDARG00000041107	ENSGMOG00000002861	ENSGACG00000009039	ENSONIG00000003911	ENSORLG00000019555	ENSPFOG00000014478	ENSTRUG00000017143	ENSTNIG00000016063	ENSXMAG00000006463	
ENSDARG00000041481	ENSDART00000060809	7	ENSAMXG00000024616	ENSDARG00000041481	ENSGMOG00000007310	ENSGACG00000013142	ENSONIG00000008632	ENSORLG00000016239	ENSPFOG00000010191	ENSTRUG00000012580	ENSTNIG00000010303	ENSXMAG00000013499	
ENSDARG00000041870	ENSDART00000061334	6	ENSAMXG00000012539	ENSDARG00000041870	ENSGMOG00000015222	ENSGACG00000006020	ENSONIG00000015776	ENSORLG00000008648	ENSPFOG00000002372	ENSTRUG00000012624	ENSTNIG00000005431	ENSXMAG00000005470	
ENSDARG00000041887	ENSDART00000061378	6	ENSAMXG00000005382	ENSDARG00000041887	ENSGMOG00000016024	ENSGACG00000011893	ENSONIG00000010848	ENSORLG00000013050	ENSPFOG00000016768	ENSTRUG00000006118	ENSTNIG00000005713	ENSXMAG00000002753	
ENSDARG00000041895	ENSDART00000061365	9	ENSAMXG00000018012	ENSDARG00000041895	ENSGMOG00000015332	ENSGACG00000006047	ENSONIG00000015784	ENSORLG00000008703	ENSPFOG00000001852	ENSTRUG00000012246	ENSTNIG00000005430	ENSXMAG00000005369	
ENSDARG00000042057	ENSDART00000139648	5	ENSAMXG00000009602	ENSDARG00000042057	ENSGMOG00000009535	ENSGACG00000005050	ENSONIG00000007823	ENSORLG00000020110	ENSPFOG00000003872	ENSTRUG00000002396	ENSTNIG00000005534	ENSXMAG00000003575	
ENSDARG00000042087	ENSDART00000061679	5	ENSAMXG00000005195	ENSDARG00000042087	ENSGMOG00000007604	ENSGACG00000010250	ENSONIG00000001756	ENSORLG00000005421	ENSPFOG00000013730	ENSTRUG00000013929	ENSTNIG00000015531	ENSXMAG00000018492	
ENSDARG00000042518	ENSDART00000062343	6	ENSAMXG00000001029	ENSDARG00000042518	ENSGMOG00000004450	ENSGACG00000013538	ENSONIG00000010383	ENSORLG00000016085	ENSPFOG00000008233	ENSTRUG00000008330	ENSTNIG00000019254	ENSXMAG00000005670	
ENSDARG00000042530	ENSDART00000062216	17	ENSAMXG00000001041	ENSDARG00000042530	ENSGMOG00000004724	ENSGACG00000013655	ENSONIG00000010336	ENSORLG00000015967	ENSPFOG00000010640	ENSTRUG00000004511	ENSTNIG00000008791	ENSXMAG00000005490	
ENSDARG00000042724	ENSDART00000062674	5	ENSAMXG00000009128	ENSDARG00000042724	ENSGMOG00000003422	ENSGACG00000004934	ENSONIG00000001100	ENSORLG00000000394	ENSPFOG00000011126	ENSTRUG00000002370	ENSTNIG00000011178	ENSXMAG00000004169	
ENSDARG00000042728	ENSDART00000062704	5	ENSAMXG00000010868	ENSDARG00000042728	ENSGMOG00000005229	ENSGACG00000019658	ENSONIG00000013448	ENSORLG00000005124	ENSPFOG00000000075	ENSTRUG00000002447	ENSTNIG00000007187	ENSXMAG00000008506	
ENSDARG00000043019	ENSDART00000063154	8	ENSAMXG00000005542	ENSDARG00000043019	ENSGMOG00000018756	ENSGACG00000014307	ENSONIG00000002936	ENSORLG00000000634	ENSPFOG00000017153	ENSTRUG00000015553	ENSTNIG00000017651	ENSXMAG00000016901	
ENSDARG00000043077	ENSDART00000063245	5	ENSAMXG00000005024	ENSDARG00000043077	ENSGMOG00000003352	ENSGACG00000004013	ENSONIG00000000457	ENSORLG00000019759	ENSPFOG00000003415	ENSTRUG00000010262	ENSTNIG00000005882	ENSXMAG00000000318	
ENSDARG00000043323	ENSDART00000143286	5	ENSAMXG00000002610	ENSDARG00000043323	ENSGMOG00000010278	ENSGACG00000014237	ENSONIG00000003022	ENSORLG00000000492	ENSPFOG00000017706	ENSTRUG00000014995	ENSTNIG00000017659	ENSXMAG00000014349	
ENSDARG00000043797	ENSDART00000064313	5	ENSAMXG00000000894	ENSDARG00000043797	ENSGMOG00000000407	ENSGACG00000011733	ENSONIG00000001420	ENSORLG00000018576	ENSPFOG00000013630	ENSTRUG00000006648	ENSTNIG00000009853	ENSXMAG00000006816	
ENSDARG00000044812	ENSDART00000065864	6	ENSAMXG00000011174	ENSDARG00000044812	ENSGMOG00000014188	ENSGACG00000017137	ENSONIG00000005886	ENSORLG00000001038	ENSPFOG00000019326	ENSTRUG00000016281	ENSTNIG00000009598	ENSXMAG00000011837	
ENSDARG00000045398	ENSDART00000066759	5	ENSAMXG00000020613	ENSDARG00000045398	ENSGMOG00000019435	ENSGACG00000002662	ENSONIG00000014349	ENSORLG00000007727	ENSPFOG00000001248	ENSTRUG00000009518	ENSTNIG00000008166	ENSXMAG00000019194	
ENSDARG00000045626	ENSDART00000067095	7	ENSAMXG00000004017	ENSDARG00000045626	ENSGMOG00000016185	ENSGACG00000011167	ENSONIG00000013168	ENSORLG00000004422	ENSPFOG00000024665	ENSTRUG00000005563	ENSTNIG00000016229	ENSXMAG00000011882	
ENSDARG00000045900	ENSDART00000103601	6	ENSAMXG00000001121	ENSDARG00000045900	ENSGMOG00000003475	ENSGACG00000005542	ENSONIG00000001060	ENSORLG00000010469	ENSPFOG00000001487	ENSTRUG00000018079	ENSTNIG00000009692	ENSXMAG00000010851	
ENSDARG00000051816	ENSDART00000073502	5	ENSAMXG00000000927	ENSDARG00000051816	ENSGMOG00000010875	ENSGACG00000008638	ENSONIG00000012690	ENSORLG00000018264	ENSPFOG00000002086	ENSTRUG00000016419	ENSTNIG00000010415	ENSXMAG00000002430	
ENSDARG00000051889	ENSDART00000073597	5	ENSAMXG00000007049	ENSDARG00000051889	ENSGMOG00000016135	ENSGACG00000015466	ENSONIG00000003006	ENSORLG00000005804	ENSPFOG00000022185	ENSTRUG00000017261	ENSTNIG00000005752	ENSXMAG00000018327	
ENSDARG00000052553	ENSDART00000074426	5	ENSAMXG00000007489	ENSDARG00000052553	ENSGMOG00000003307	ENSGACG00000020846	ENSONIG00000013282	ENSORLG00000015208	ENSPFOG00000002118	ENSTRUG00000010827	ENSTNIG00000010270	ENSXMAG00000011457	
ENSDARG00000052866	ENSDART00000074777	19	ENSAMXG00000010292	ENSDARG00000052866	ENSGMOG00000012719	ENSGACG00000018347	ENSONIG00000018930	ENSORLG00000014651	ENSPFOG00000013458	ENSTRUG00000005174	ENSTNIG00000012050	ENSXMAG00000005378	
ENSDARG00000053087	ENSDART00000075068	6	ENSAMXG00000014200	ENSDARG00000053087	ENSGMOG00000001673	ENSGACG00000012633	ENSONIG00000017961	ENSORLG00000018951	ENSPFOG00000017784	ENSTRUG00000002976	ENSTNIG00000003278	ENSXMAG00000012737	
ENSDARG00000053200	ENSDART00000075176	8	ENSAMXG00000006220	ENSDARG00000053200	ENSGMOG00000003012	ENSGACG00000017315	ENSONIG00000015695	ENSORLG00000018364	ENSPFOG00000017504	ENSTRUG00000009567	ENSTNIG00000004764	ENSXMAG00000013661	
ENSDARG00000053303	ENSDART00000075333	11	ENSAMXG00000018100	ENSDARG00000053303	ENSGMOG00000004476	ENSGACG00000005813	ENSONIG00000009797	ENSORLG00000010603	ENSPFOG00000013390	ENSTRUG00000016338	ENSTNIG00000016591	ENSXMAG00000009609	
ENSDARG00000054154	ENSDART00000053761	9	ENSAMXG00000011236	ENSDARG00000054154	ENSGMOG00000000718	ENSGACG00000015334	ENSONIG00000007227	ENSORLG00000014655	ENSPFOG00000015180	ENSTRUG00000008028	ENSTNIG00000006216	ENSXMAG00000014236	
ENSDARG00000054999	ENSDART00000077278	5	ENSAMXG00000001885	ENSDARG00000054999	ENSGMOG00000002109	ENSGACG00000016081	ENSONIG00000010715	ENSORLG00000009040	ENSPFOG00000006158	ENSTRUG00000008782	ENSTNIG00000007812	ENSXMAG00000004751	
ENSDARG00000055305	ENSDART00000077627	8	ENSAMXG00000004705	ENSDARG00000055305	ENSGMOG00000005386	ENSGACG00000003269	ENSONIG00000010322	ENSORLG00000013965	ENSPFOG00000024271	ENSTRUG00000017885	ENSTNIG00000013085	ENSXMAG00000014398	
ENSDARG00000055885	ENSDART00000078283	7	ENSAMXG00000020864	ENSDARG00000055885	ENSGMOG00000014603	ENSGACG00000009064	ENSONIG00000006044	ENSORLG00000008812	ENSPFOG00000017455	ENSTRUG00000010787	ENSTNIG00000018376	ENSXMAG00000013171	
ENSDARG00000056037	ENSDART00000078449	6	ENSAMXG00000017268	ENSDARG00000056037	ENSGMOG00000003642	ENSGACG00000011406	ENSONIG00000016533	ENSORLG00000016280	ENSPFOG00000000255	ENSTRUG00000009523	ENSTNIG00000012444	ENSXMAG00000001322	
ENSDARG00000056160	ENSDART00000078596	5	ENSAMXG00000002207	ENSDARG00000056160	ENSGMOG00000006801	ENSGACG00000008860	ENSONIG00000013762	ENSORLG00000020874	ENSPFOG00000000054	ENSTRUG00000015595	ENSTNIG00000011531	ENSXMAG00000005891	
ENSDARG00000056318	ENSDART00000078796	5	ENSAMXG00000002810	ENSDARG00000056318	ENSGMOG00000011485	ENSGACG00000011630	ENSONIG00000016529	ENSORLG00000016524	ENSPFOG00000013632	ENSTRUG00000000470	ENSTNIG00000004446	ENSXMAG00000009365	
ENSDARG00000056530	ENSDART00000079046	16	ENSAMXG00000017810	ENSDARG00000056530	ENSGMOG00000014969	ENSGACG00000011570	ENSONIG00000002195	ENSORLG00000016794	ENSPFOG00000018563	ENSTRUG00000009693	ENSTNIG00000015449	ENSXMAG00000013288	
ENSDARG00000056557	ENSDART00000079042	6	ENSAMXG00000014063	ENSDARG00000056557	ENSGMOG00000001285	ENSGACG00000015643	ENSONIG00000006126	ENSORLG00000006792	ENSPFOG00000007235	ENSTRUG00000017376	ENSTNIG00000009380	ENSXMAG00000007010	
ENSDARG00000056781	ENSDART00000079322	5	ENSAMXG00000011770	ENSDARG00000056781	ENSGMOG00000004470	ENSGACG00000000704	ENSONIG00000000576	ENSORLG00000010593	ENSPFOG00000022872	ENSTRUG00000004421	ENSTNIG00000003736	ENSXMAG00000008231	
ENSDARG00000056932	ENSDART00000079506	7	ENSAMXG00000018840	ENSDARG00000056932	ENSGMOG00000004834	ENSGACG00000009599	ENSONIG00000013652	ENSORLG00000008318	ENSPFOG00000016485	ENSTRUG00000016348	ENSTNIG00000015914	ENSXMAG00000007524	
ENSDARG00000057249	ENSDART00000079863	5	ENSAMXG00000005242	ENSDARG00000057249	ENSGMOG00000013209	ENSGACG00000017546	ENSONIG00000017687	ENSORLG00000005930	ENSPFOG00000009308	ENSTRUG00000004417	ENSTNIG00000007986	ENSXMAG00000006568	
ENSDARG00000057508	ENSDART00000031188	7	ENSAMXG00000016343	ENSDARG00000057508	ENSGMOG00000016913	ENSGACG00000008637	ENSONIG00000003066	ENSORLG00000008199	ENSPFOG00000000413	ENSTRUG00000013855	ENSTNIG00000018406	ENSXMAG00000014112	
ENSDARG00000057660	ENSDART00000080351	5	ENSAMXG00000002141	ENSDARG00000057660	ENSGMOG00000001839	ENSGACG00000018935	ENSONIG00000016747	ENSORLG00000010748	ENSPFOG00000012729	ENSTRUG00000008277	ENSTNIG00000018527	ENSXMAG00000004136	
ENSDARG00000057729	ENSDART00000080477	5	ENSAMXG00000019501	ENSDARG00000057729	ENSGMOG00000003925	ENSGACG00000010474	ENSONIG00000012839	ENSORLG00000011883	ENSPFOG00000011583	ENSTRUG00000008107	ENSTNIG00000008297	ENSXMAG00000011685	
ENSDARG00000057738	ENSDART00000080465	5	ENSAMXG00000002088	ENSDARG00000057738	ENSGMOG00000017884	ENSGACG00000003897	ENSONIG00000013166	ENSORLG00000000987	ENSPFOG00000001954	ENSTRUG00000000350	ENSTNIG00000003738	ENSXMAG00000005731	
ENSDARG00000057986	ENSDART00000080751	5	ENSAMXG00000010895	ENSDARG00000057986	ENSGMOG00000012090	ENSGACG00000002293	ENSONIG00000013838	ENSORLG00000007855	ENSPFOG00000001945	ENSTRUG00000007434	ENSTNIG00000004234	ENSXMAG00000005568	
ENSDARG00000057997	ENSDART00000080770	6	ENSAMXG00000009172	ENSDARG00000057997	ENSGMOG00000019270	ENSGACG00000009434	ENSONIG00000020346	ENSORLG00000007962	ENSPFOG00000011219	ENSTRUG00000005884	ENSTNIG00000011126	ENSXMAG00000010496	
ENSDARG00000058000	ENSDART00000090254	9	ENSAMXG00000014686	ENSDARG00000058000	ENSGMOG00000013788	ENSGACG00000010862	ENSONIG00000001924	ENSORLG00000017337	ENSPFOG00000008359	ENSTRUG00000009700	ENSTNIG00000015499	ENSXMAG00000018995	
ENSDARG00000058319	ENSDART00000081152	7	ENSAMXG00000000217	ENSDARG00000058319	ENSGMOG00000013513	ENSGACG00000003686	ENSONIG00000006884	ENSORLG00000002558	ENSPFOG00000010395	ENSTRUG00000012223	ENSTNIG00000013311	ENSXMAG00000002590	
ENSDARG00000058533	ENSDART00000081411	16	ENSAMXG00000001201	ENSDARG00000058533	ENSGMOG00000012053	ENSGACG00000009265	ENSONIG00000013522	ENSORLG00000007834	ENSPFOG00000014344	ENSTRUG00000015726	ENSTNIG00000015896	ENSXMAG00000007745	
ENSDARG00000058676	ENSDART00000081596	6	ENSAMXG00000001995	ENSDARG00000058676	ENSGMOG00000001100	ENSGACG00000015232	ENSONIG00000017063	ENSORLG00000012214	ENSPFOG00000011764	ENSTRUG00000003058	ENSTNIG00000012597	ENSXMAG00000017451	
ENSDARG00000058993	ENSDART00000081976	5	ENSAMXG00000014672	ENSDARG00000058993	ENSGMOG00000011444	ENSGACG00000017327	ENSONIG00000009417	ENSORLG00000017642	ENSPFOG00000011127	ENSTRUG00000013281	ENSTNIG00000008471	ENSXMAG00000002398	
ENSDARG00000059116	ENSDART00000082127	6	ENSAMXG00000021607	ENSDARG00000059116	ENSGMOG00000018844	ENSGACG00000004370	ENSONIG00000010077	ENSORLG00000012398	ENSPFOG00000019455	ENSTRUG00000004006	ENSTNIG00000016651	ENSXMAG00000006472	
ENSDARG00000059553	ENSDART00000082879	10	ENSAMXG00000013677	ENSDARG00000059553	ENSGMOG00000002357	ENSGACG00000002735	ENSONIG00000016802	ENSORLG00000015338	ENSPFOG00000001194	ENSTRUG00000010202	ENSTNIG00000017855	ENSXMAG00000005737	
ENSDARG00000059596	ENSDART00000082983	5	ENSAMXG00000007478	ENSDARG00000059596	ENSGMOG00000013615	ENSGACG00000020843	ENSONIG00000013264	ENSORLG00000015350	ENSPFOG00000000967	ENSTRUG00000009899	ENSTNIG00000004694	ENSXMAG00000015329	
ENSDARG00000059600	ENSDART00000110182	5	ENSAMXG00000007454	ENSDARG00000059600	ENSGMOG00000013151	ENSGACG00000020855	ENSONIG00000013337	ENSORLG00000015131	ENSPFOG00000003835	ENSTRUG00000009248	ENSTNIG00000004174	ENSXMAG00000011320	
ENSDARG00000059631	ENSDART00000083062	16	ENSAMXG00000001060	ENSDARG00000059631	ENSGMOG00000004941	ENSGACG00000014088	ENSONIG00000001331	ENSORLG00000004733	ENSPFOG00000012354	ENSTRUG00000013554	ENSTNIG00000018606	ENSXMAG00000009336	
ENSDARG00000059711	ENSDART00000083294	9	ENSAMXG00000007881	ENSDARG00000059711	ENSGMOG00000000637	ENSGACG00000010296	ENSONIG00000015951	ENSORLG00000010159	ENSPFOG00000003825	ENSTRUG00000005694	ENSTNIG00000003826	ENSXMAG00000019408	
ENSDARG00000059760	ENSDART00000113358	6	ENSAMXG00000007911	ENSDARG00000059760	ENSGMOG00000000939	ENSGACG00000007170	ENSONIG00000006780	ENSORLG00000004505	ENSPFOG00000010064	ENSTRUG00000013148	ENSTNIG00000009651	ENSXMAG00000010763	
ENSDARG00000059846	ENSDART00000083644	22	ENSAMXG00000002382	ENSDARG00000059846	ENSGMOG00000011318	ENSGACG00000009739	ENSONIG00000013677	ENSORLG00000008624	ENSPFOG00000016724	ENSTRUG00000011643	ENSTNIG00000015399	ENSXMAG00000007443	
ENSDARG00000059855	ENSDART00000083665	7	ENSAMXG00000013585	ENSDARG00000059855	ENSGMOG00000010257	ENSGACG00000008111	ENSONIG00000013253	ENSORLG00000005926	ENSPFOG00000018046	ENSTRUG00000007167	ENSTNIG00000015821	ENSXMAG00000017551	
ENSDARG00000059925	ENSDART00000083890	8	ENSAMXG00000013347	ENSDARG00000059925	ENSGMOG00000016350	ENSGACG00000001152	ENSONIG00000002812	ENSORLG00000001683	ENSPFOG00000015612	ENSTRUG00000016307	ENSTNIG00000017621	ENSXMAG00000011121	
ENSDARG00000060023	ENSDART00000084090	5	ENSAMXG00000019676	ENSDARG00000060023	ENSGMOG00000011469	ENSGACG00000003962	ENSONIG00000005990	ENSORLG00000010666	ENSPFOG00000016023	ENSTRUG00000009570	ENSTNIG00000005843	ENSXMAG00000002381	
ENSDARG00000060089	ENSDART00000084327	15	ENSAMXG00000014437	ENSDARG00000060089	ENSGMOG00000008302	ENSGACG00000002936	ENSONIG00000014834	ENSORLG00000000700	ENSPFOG00000011461	ENSTRUG00000005368	ENSTNIG00000004022	ENSXMAG00000007626	
ENSDARG00000060093	ENSDART00000084314	6	ENSAMXG00000012193	ENSDARG00000060093	ENSGMOG00000014466	ENSGACG00000014591	ENSONIG00000014229	ENSORLG00000020799	ENSPFOG00000006057	ENSTRUG00000015844	ENSTNIG00000015634	ENSXMAG00000015491	
ENSDARG00000060554	ENSDART00000085442	5	ENSAMXG00000017324	ENSDARG00000060554	ENSGMOG00000010495	ENSGACG00000012341	ENSONIG00000001021	ENSORLG00000010129	ENSPFOG00000001180	ENSTRUG00000004300	ENSTNIG00000009682	ENSXMAG00000003414	
ENSDARG00000060758	ENSDART00000085971	7	ENSAMXG00000010939	ENSDARG00000060758	ENSGMOG00000000141	ENSGACG00000007711	ENSONIG00000002788	ENSORLG00000006671	ENSPFOG00000005155	ENSTRUG00000000175	ENSTNIG00000018462	ENSXMAG00000010451	
ENSDARG00000060921	ENSDART00000044559	7	ENSAMXG00000004603	ENSDARG00000060921	ENSGMOG00000009802	ENSGACG00000019856	ENSONIG00000013107	ENSORLG00000010438	ENSPFOG00000004904	ENSTRUG00000004138	ENSTNIG00000018843	ENSXMAG00000007966	
ENSDARG00000061013	ENSDART00000086537	11	ENSAMXG00000015723	ENSDARG00000061013	ENSGMOG00000012308	ENSGACG00000020224	ENSONIG00000017506	ENSORLG00000011597	ENSPFOG00000011523	ENSTRUG00000006129	ENSTNIG00000008565	ENSXMAG00000005852	
ENSDARG00000061020	ENSDART00000086570	5	ENSAMXG00000014878	ENSDARG00000061020	ENSGMOG00000008235	ENSGACG00000006580	ENSONIG00000016376	ENSORLG00000004816	ENSPFOG00000002345	ENSTRUG00000012299	ENSTNIG00000018897	ENSXMAG00000008110	
ENSDARG00000061354	ENSDART00000087418	8	ENSAMXG00000020917	ENSDARG00000061354	ENSGMOG00000004592	ENSGACG00000006763	ENSONIG00000008228	ENSORLG00000015336	ENSPFOG00000006801	ENSTRUG00000007543	ENSTNIG00000018517	ENSXMAG00000004517	
ENSDARG00000061372	ENSDART00000087438	5	ENSAMXG00000011966	ENSDARG00000061372	ENSGMOG00000009206	ENSGACG00000008223	ENSONIG00000020033	ENSORLG00000007096	ENSPFOG00000017289	ENSTRUG00000014115	ENSTNIG00000012792	ENSXMAG00000019008	
ENSDARG00000061394	ENSDART00000087480	7	ENSAMXG00000017565	ENSDARG00000061394	ENSGMOG00000016660	ENSGACG00000007613	ENSONIG00000005682	ENSORLG00000011574	ENSPFOG00000011249	ENSTRUG00000005817	ENSTNIG00000014185	ENSXMAG00000010907	
ENSDARG00000061397	ENSDART00000087566	17	ENSAMXG00000021606	ENSDARG00000061397	ENSGMOG00000007345	ENSGACG00000007464	ENSONIG00000005637	ENSORLG00000011737	ENSPFOG00000013439	ENSTRUG00000006584	ENSTNIG00000004815	ENSXMAG00000010830	
ENSDARG00000061437	ENSDART00000087604	5	ENSAMXG00000004725	ENSDARG00000061437	ENSGMOG00000005525	ENSGACG00000003346	ENSONIG00000010306	ENSORLG00000013866	ENSPFOG00000009448	ENSTRUG00000017919	ENSTNIG00000013089	ENSXMAG00000007830	
ENSDARG00000061472	ENSDART00000087691	6	ENSAMXG00000004958	ENSDARG00000061472	ENSGMOG00000017609	ENSGACG00000019099	ENSONIG00000012924	ENSORLG00000007772	ENSPFOG00000005923	ENSTRUG00000018098	ENSTNIG00000019055	ENSXMAG00000001845	
ENSDARG00000061590	ENSDART00000087964	7	ENSAMXG00000010564	ENSDARG00000061590	ENSGMOG00000013506	ENSGACG00000007086	ENSONIG00000008810	ENSORLG00000010145	ENSPFOG00000008959	ENSTRUG00000018536	ENSTNIG00000006543	ENSXMAG00000002196	
ENSDARG00000061658	ENSDART00000088169	8	ENSAMXG00000018258	ENSDARG00000061658	ENSGMOG00000011829	ENSGACG00000012957	ENSONIG00000002405	ENSORLG00000004329	ENSPFOG00000003911	ENSTRUG00000018040	ENSTNIG00000010642	ENSXMAG00000012464	
ENSDARG00000061752	ENSDART00000088427	5	ENSAMXG00000011121	ENSDARG00000061752	ENSGMOG00000008494	ENSGACG00000004704	ENSONIG00000002595	ENSORLG00000012880	ENSPFOG00000013834	ENSTRUG00000014430	ENSTNIG00000017788	ENSXMAG00000003539	
ENSDARG00000061789	ENSDART00000088513	5	ENSAMXG00000016080	ENSDARG00000061789	ENSGMOG00000015224	ENSGACG00000009765	ENSONIG00000013044	ENSORLG00000012862	ENSPFOG00000015398	ENSTRUG00000011226	ENSTNIG00000008017	ENSXMAG00000011015	
ENSDARG00000061941	ENSDART00000138186	6	ENSAMXG00000004376	ENSDARG00000061941	ENSGMOG00000001672	ENSGACG00000009136	ENSONIG00000013473	ENSORLG00000007391	ENSPFOG00000012534	ENSTRUG00000015050	ENSTNIG00000015886	ENSXMAG00000008020	
ENSDARG00000062198	ENSDART00000089654	10	ENSAMXG00000008702	ENSDARG00000062198	ENSGMOG00000000896	ENSGACG00000016941	ENSONIG00000010148	ENSORLG00000008079	ENSPFOG00000007075	ENSTRUG00000015999	ENSTNIG00000007130	ENSXMAG00000007796	
ENSDARG00000062266	ENSDART00000089787	6	ENSAMXG00000020531	ENSDARG00000062266	ENSGMOG00000001017	ENSGACG00000003130	ENSONIG00000011113	ENSORLG00000012780	ENSPFOG00000007611	ENSTRUG00000005353	ENSTNIG00000004847	ENSXMAG00000005735	
ENSDARG00000062267	ENSDART00000089845	7	ENSAMXG00000016029	ENSDARG00000062267	ENSGMOG00000000925	ENSGACG00000018131	ENSONIG00000012966	ENSORLG00000005430	ENSPFOG00000008703	ENSTRUG00000000867	ENSTNIG00000010516	ENSXMAG00000008990	
ENSDARG00000062361	ENSDART00000090096	5	ENSAMXG00000016055	ENSDARG00000062361	ENSGMOG00000001848	ENSGACG00000020601	ENSONIG00000004787	ENSORLG00000004845	ENSPFOG00000017939	ENSTRUG00000001459	ENSTNIG00000009964	ENSXMAG00000016037	
ENSDARG00000062561	ENSDART00000090631	5	ENSAMXG00000018674	ENSDARG00000062561	ENSGMOG00000009155	ENSGACG00000020138	ENSONIG00000011041	ENSORLG00000010777	ENSPFOG00000006651	ENSTRUG00000000665	ENSTNIG00000003749	ENSXMAG00000015645	
ENSDARG00000062632	ENSDART00000090727	14	ENSAMXG00000000686	ENSDARG00000062632	ENSGMOG00000004566	ENSGACG00000006163	ENSONIG00000008359	ENSORLG00000005268	ENSPFOG00000005147	ENSTRUG00000009066	ENSTNIG00000013699	ENSXMAG00000006491	
